feature,mean_active_vs_outside_effect,mean_exhaustion_vs_active_effect,mean_prebear_vs_outside_effect,overall_std,mean_ACTIVE_BEAR,mean_EXHAUSTION,mean_OUTSIDE,mean_PRE_BEAR,mean_RECOVERY,median_ACTIVE_BEAR,median_EXHAUSTION,median_OUTSIDE,median_PRE_BEAR,median_RECOVERY,abs_active_vs_outside,abs_exhaustion_vs_active,abs_prebear_vs_outside
log_ret,-0.3186429547809753,0.0772409219210703,0.08153004062405259,0.014816054479297168,-0.0030646877002158605,-0.001920281993002144,0.0016563436772632938,0.0028642972008485683,0.003919879958263057,-0.001901105822986,-0.0026853971932041,0.0014166925683269,0.0025117504615579,0.0012677591302328,0.3186429547809753,0.0772409219210703,0.08153004062405259
red_streak,0.31776899231875644,0.1712798899563443,-0.05228160047671567,1.1097551386741955,0.9561200923787528,1.1461988304093567,0.6034743202416919,0.5454545454545454,0.5221238938053098,1.0,1.0,0.0,0.0,0.0,0.31776899231875644,0.1712798899563443,0.05228160047671567
ret_1,-0.3138889766919519,0.09161009692160431,0.08031514161743122,0.014834490727419613,-0.002934875880617253,-0.001575886747295702,0.0017215072335587385,0.002912941457153915,0.0041782816076430225,-0.0018992998659317,-0.0026817947395564,0.001417696551299,0.0025149075494677,0.0012685630765412,0.3138889766919519,0.09161009692160431,0.08031514161743122
green_streak,-0.2925997310399155,-0.07576579567741465,0.533123582663959,1.438343185968456,0.7113163972286374,0.6023391812865497,1.1321752265861027,1.898989898989899,1.1592920353982301,0.0,0.0,1.0,1.0,1.0,0.2925997310399155,0.07576579567741465,0.533123582663959
is_red,0.2897537192248681,0.03731217334499589,-0.12942067196798335,0.4926330811133319,0.5196304849884527,0.5380116959064327,0.3768882175226586,0.31313131313131315,0.35398230088495575,1.0,1.0,0.0,0.0,0.0,0.2897537192248681,0.03731217334499589,0.12942067196798335
lower_wick,0.289154776931512,0.09333654091456918,-0.1431283783300925,78.98021501253929,84.64434180138568,92.01608187134502,61.80683534743203,50.50252525252525,74.84734513274336,59.5,57.75,40.0,33.0,46.75,0.289154776931512,0.09333654091456918,0.1431283783300925
low,-0.28133627446671894,-0.7532382756714456,-0.17880548426193363,5040.759998566012,15685.288106235566,11888.394736842105,17103.43674471299,16202.121212121212,14790.223451327434,13588.0,11548.25,15962.5,15475.25,14376.75,0.28133627446671894,0.7532382756714456,0.17880548426193363
close,-0.2777090732302412,-0.7430422693743903,-0.17971378868123303,5058.05454535307,15828.561778290994,12070.213450292398,17233.229418429004,16324.227272727272,14981.92256637168,13684.0,11667.25,16070.0,15528.0,14434.5,0.2777090732302412,0.7430422693743903,0.17971378868123303
is_green,-0.26551487443130234,0.008240705636690332,0.1851645271594137,0.4998635065682504,0.4110854503464203,0.4152046783625731,0.5438066465256798,0.6363636363636364,0.5575221238938053,0.0,0.0,1.0,1.0,1.0,0.26551487443130234,0.008240705636690332,0.1851645271594137
open,-0.26337244112550057,-0.7500919640370524,-0.18315607113535354,5055.302418210007,15876.848152424942,12084.906432748538,17208.275490936558,16282.36616161616,14938.913716814159,13717.75,11664.75,16050.125,15528.25,14434.5,0.26337244112550057,0.7500919640370524,0.18315607113535354
high,-0.26069069263111627,-0.7401269203529697,-0.1825891347530855,5068.168082710633,16000.233833718245,12249.146198830409,17321.458081570996,16396.065656565657,15122.747787610619,13777.5,11763.5,16187.625,15578.5,14463.5,0.26069069263111627,0.7401269203529697,0.1825891347530855
ema_10,-0.2273333687192377,-0.7460784523923472,-0.18605624348198352,5028.056852552607,15972.471442220509,12221.146567127324,17115.51654462314,16180.015174623357,14876.685335347487,13722.861056608534,11629.602954671229,16077.799945378705,15566.265586788382,14129.697609274675,0.2273333687192377,0.7460784523923472,0.18605624348198352
ema_20,-0.1917563972611919,-0.7349064620402889,-0.18564830773563826,5001.303702336807,16040.283014599545,12364.792605126204,16999.31499416871,16070.831425357901,14979.469178475783,13709.396993378574,11653.42447385548,15828.082564921358,15461.21533943363,14142.87869053222,0.1917563972611919,0.7349064620402889,0.18564830773563826
ema_50,-0.13114000842038498,-0.6978201872106246,-0.18218474785504574,4944.378050327897,16090.427864184512,12640.141047464596,16738.83364333808,15838.043374939069,15212.60748863796,13890.506756842991,11680.399866338705,15493.001540159827,15055.857791110597,14513.333044623474,0.13114000842038498,0.6978201872106246,0.18218474785504574
ema_100,-0.07445263836906342,-0.6601319715631627,-0.1915624166789772,4863.215230862728,16059.103276278067,12848.739417792653,16421.18248117241,15489.573218718337,15226.136634474138,14347.65514669596,12027.07805254886,15223.40061526181,14587.396738809042,14799.231056842016,0.07445263836906342,0.6601319715631627,0.1915624166789772
adx,-0.028216220715169677,0.40183093708667883,0.1569113971379697,8.539097328529758,21.143554167523593,24.57482764892106,21.384495222453705,22.724376914570414,23.871823729945817,19.33076737450349,21.883443712676318,19.347431461528327,17.774455271896702,22.98790738400373,0.028216220715169677,0.40183093708667883,0.1569113971379697
ema_200,-0.019411482139828736,-0.59751620385512,-0.225175233103002,4687.541043792113,15829.585972682235,13028.704242780505,15920.57809193352,14865.059944717741,14895.870327230748,14286.089763582955,12621.622587319393,14699.310783018316,13827.76681128478,14112.423692950517,0.019411482139828736,0.59751620385512,0.225175233103002
spread,0.0032735168191916015,-0.08294695233676995,-0.07346418611744762,314.65123728778815,39.54965357967667,13.450292397660819,38.51963746223565,15.404040404040405,99.5575221238938,0.0,0.0,0.0,0.0,0.0,0.0032735168191916015,0.08294695233676995,0.07346418611744762
