signal_name,time,bear_window_id,hours_from_bear_start,conditions_passed,conditions_total,conditions_failed,bear_prob,exhaust_prob,daily_model_rsi,daily_model_adx,daily_model_ema20_slope_5,daily_model_ema50_slope_5,daily_model_atr,rsi70_streak,ob_streak_not_making_higher_high,rsi_rolling_over,range_pos,hh_8,high,close,open,h1_rsi,h1_ema_20,h1_ret_4,fail_is_early_window,fail_in_session,fail_upper_range_failure,fail_overbought_stall_condition
early_relaxed_signal_B,2020-02-19 19:00:00+00:00,1.0,43.0,2,4,2,0.2274536257589622,0.0198395275720481,73.88768536914013,51.781554667791646,137.5440165997843,97.75126514854492,113.88873806929332,2,0,0,0.9759036144578314,9222.75,9227.25,9220.25,9214.0,76.41809149990834,9169.563910458037,0.0022283214217777,0,0,1,1
early_relaxed_signal_B,2020-02-19 20:00:00+00:00,1.0,44.0,2,4,2,0.2274536257589622,0.0198395275720481,73.88768536914013,51.781554667791646,137.5440165997843,97.75126514854492,113.88873806929332,2,0,0,0.7975308641975308,9227.25,9222.25,9206.75,9220.5,68.52965068216227,9173.105442795368,-0.0006512713359203,0,0,1,1
early_relaxed_signal_B,2020-02-20 14:00:00+00:00,1.0,62.0,2,4,2,0.3109612255553433,0.0128900228199459,62.09561983942258,49.54991774644077,118.92077692361454,91.64337239762062,123.37882820720094,0,0,1,0.3660130718954248,9222.25,9197.5,9193.0,9180.5,51.59321388740421,9192.922191918437,-0.0006794032122183,0,0,1,1
early_relaxed_signal_B,2020-02-20 15:00:00+00:00,1.0,63.0,2,4,2,0.3109612255553433,0.0128900228199459,62.09561983942258,49.54991774644077,118.92077692361454,91.64337239762062,123.37882820720094,0,0,1,0.2019543973941368,9222.25,9204.0,9180.25,9192.75,47.48607528298587,9191.71531649763,-0.0004355282140621,0,0,1,1
early_relaxed_signal_B,2020-02-20 16:00:00+00:00,1.0,64.0,2,4,2,0.3109612255553433,0.0128900228199459,62.09561983942258,49.54991774644077,118.92077692361454,91.64337239762062,123.37882820720094,0,0,1,-1.3387622149837133,9219.0,9180.75,9062.0,9180.5,26.45314620422017,9179.361476831187,-0.0140622875017,0,0,1,1
early_relaxed_signal_B,2020-02-20 17:00:00+00:00,1.0,65.0,2,4,2,0.3109612255553433,0.0128900228199459,62.09561983942258,49.54991774644077,118.92077692361454,91.64337239762062,123.37882820720094,0,0,1,0.2715298885511651,9208.0,9063.75,9061.75,9062.0,26.42649624128416,9168.160383799646,-0.012935025325418,0,0,1,1
early_relaxed_signal_B,2020-02-20 18:00:00+00:00,1.0,66.0,2,4,2,0.3109612255553433,0.0128900228199459,62.09561983942258,49.54991774644077,118.92077692361454,91.64337239762062,123.37882820720094,0,0,1,0.2887537993920973,9208.0,9096.25,9066.0,9061.5,27.758904166059736,9158.430823437777,-0.0138148591319482,0,0,1,1
early_relaxed_signal_B,2020-02-20 19:00:00+00:00,1.0,67.0,2,4,2,0.3109612255553433,0.0128900228199459,62.09561983942258,49.54991774644077,118.92077692361454,91.64337239762062,123.37882820720094,0,0,1,0.4305977710233029,9204.0,9118.5,9101.0,9066.75,37.7560635609541,9152.961221205604,-0.0086326625091909,0,0,1,1
early_relaxed_signal_B,2020-02-20 20:00:00+00:00,1.0,68.0,2,4,2,0.3109612255553433,0.0128900228199459,62.09561983942258,49.54991774644077,118.92077692361454,91.64337239762062,123.37882820720094,0,0,1,0.4802431610942249,9204.0,9122.0,9113.25,9101.25,40.841807707093295,9149.179200138404,0.0056554844405207,0,0,1,1
early_relaxed_signal_B,2020-02-21 14:00:00+00:00,1.0,86.0,2,4,2,0.3983495688875695,0.0184816200664927,55.62909173544952,46.38234795576832,87.80927435946069,79.90245583300748,128.88748333525805,0,0,1,-0.2452380952380952,9084.25,9084.0,8991.25,9065.75,31.32752804246684,9068.625396687976,-0.0074513591831102,0,0,1,1
