signal_time,entry_time,entry,d_rsi10,d_atr7,d_atr14,h1_atr14,pullback_depth_atr,bars_since_20bar_high,close_loc,body_ratio,dist_prev_day_high,dist_prev_day_low,dist_prev_day_close,max_favorable_points,max_adverse_points,final_move_points
2025-10-30 15:00:00+00:00,2025-10-30 16:00:00+00:00,26506.5,64.39746487160423,446.57629215688354,444.27562536402985,107.57170931559352,3.135117979863805,12.0,0.2171945701357466,0.23076923076923078,-387.5,-56.5,-244.75,281.5,522.75,-312.5
2025-10-30 17:00:00+00:00,2025-10-30 18:00:00+00:00,26582.5,64.39746487160423,446.57629215688354,444.27562536402985,105.68172895069034,2.112474901921461,14.0,0.8928571428571429,0.06818181818181818,-310.5,20.5,-167.75,205.5,598.75,-461.75
2025-10-30 18:00:00+00:00,2025-10-30 19:00:00+00:00,26503.75,64.39746487160423,446.57629215688354,444.27562536402985,104.77589116849818,2.8847285060446635,15.0,0.1509433962264151,0.8463611859838275,-389.5,-58.5,-246.75,284.25,520.0,-411.75
2025-10-30 19:00:00+00:00,2025-10-30 20:00:00+00:00,26386.5,64.39746487160423,446.57629215688354,444.27562536402985,106.2561846564626,3.952711094962652,16.0,0.02390438247011952,0.9362549800796812,-507.25,-176.25,-364.5,401.5,402.75,-296.0
2025-10-30 22:00:00+00:00,2025-10-30 23:00:00+00:00,26664.0,64.39746487160423,446.57629215688354,444.27562536402985,114.91222044358254,1.2030922339358625,18.0,0.2682926829268293,0.14146341463414633,-229.75,101.25,-87.0,124.0,741.5,-739.0
2025-11-03 01:00:00+00:00,2025-11-03 02:00:00+00:00,26604.5,58.778499766615106,442.3123176323704,443.51375432169044,130.01297367802735,0.7230047689916528,13.0,0.04225352112676056,0.7746478873239436,-3.75,76.5,8.25,176.25,806.75,-350.75
2025-11-03 05:00:00+00:00,2025-11-03 06:00:00+00:00,26583.0,58.778499766615106,442.3123176323704,443.51375432169044,105.19633853649884,0.5252083938342635,17.0,0.3816793893129771,0.5038167938931297,-25.0,55.25,-13.0,197.75,785.25,-396.0
2025-11-03 06:00:00+00:00,2025-11-03 07:00:00+00:00,26563.25,58.778499766615106,442.3123176323704,443.51375432169044,101.27160006960607,0.7405827492451087,18.0,0.3283582089552239,0.39800995024875624,-44.75,35.5,-32.75,217.5,765.5,-320.75
2025-11-13 15:00:00+00:00,2025-11-13 16:00:00+00:00,25773.0,44.005761732082235,512.2984793994353,493.3068929909305,102.40312942499608,4.5286701940067955,28.0,0.20333333333333334,0.41333333333333333,-572.5,-230.75,-282.5,104.0,828.0,-800.0
2025-12-07 23:00:00+00:00,2025-12-08 00:00:00+00:00,26260.75,58.44003561657724,395.1940377279156,437.26260499056036,121.96267509824682,1.0023558428963757,9.0,0.5096153846153846,0.057692307692307696,525.5,525.5,525.5,124.0,222.5,-196.0
