signal_time,trigger,label,return_pct,r_multiple,entry_time,exit_time,exit_reason,prob_target_hit_first,pred_label,fold_train_start,fold_train_end,fold_test_start,fold_test_end,threshold
2022-11-01 14:00:00,atr_breakdown,0,-0.41883020692021766,-1.0000000000000109,2022-11-01 15:00:00,2022-11-01 16:00:00,stop,0.6239465362904449,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
2022-11-02 19:00:00,atr_breakdown,1,1.1929994250902576,1.500000000000009,2022-11-02 20:00:00,2022-11-03 12:00:00,target,0.5931853983583931,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
2022-11-16 13:00:00,atr_breakdown,1,0.5758592716971656,1.500000000000017,2022-11-16 14:00:00,2022-11-16 14:00:00,target,0.5043989117540219,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
2022-11-25 09:00:00,atr_breakdown,1,0.22259291807211756,1.5,2022-11-25 10:00:00,2022-11-25 13:00:00,target,0.5095919094961961,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
2022-12-09 13:00:00,atr_breakdown,0,-0.33841825322473706,-1.0000000000000067,2022-12-09 14:00:00,2022-12-09 14:00:00,stop,0.6786213264123441,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
2022-12-09 13:00:00,rsi_rollover,0,-0.33841825322473706,-1.0000000000000067,2022-12-09 14:00:00,2022-12-09 14:00:00,stop,0.6786213264123441,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
2022-12-14 19:00:00,atr_breakdown,0,-0.542741660403101,-1.0000000000000082,2022-12-14 20:00:00,2022-12-14 20:00:00,stop,0.5622787898003642,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
2022-12-19 14:00:00,atr_breakdown,0,-0.30660199542610345,-1.0000000000000075,2022-12-19 15:00:00,2022-12-19 15:00:00,stop,0.5078648528162555,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
2022-12-22 12:00:00,atr_breakdown,1,0.2899099056492327,1.5000000000000238,2022-12-22 13:00:00,2022-12-22 13:00:00,target,0.6333849257730367,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
2022-12-22 13:00:00,atr_breakdown,1,0.3788625851725014,1.4999999999999816,2022-12-22 14:00:00,2022-12-22 14:00:00,target,0.5799246952084084,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
2022-12-22 15:00:00,atr_breakdown,1,0.5802820876530168,1.5000000000000182,2022-12-22 16:00:00,2022-12-22 17:00:00,target,0.5072722682608621,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
