combo,trades,final_capital_usd,total_pnl_usd,total_return_pct,win_rate_pct,profit_factor,sharpe,max_drawdown_usd,max_drawdown_pct,avg_winner_usd,avg_loser_usd,avg_pnl_per_trade_usd,avg_bars_held,post_2024_trades,post_2024_total_pnl_usd,post_2024_return_pct,post_2024_win_rate_pct,post_2024_profit_factor,post_2024_sharpe,post_2024_max_drawdown_usd,tighten_mode,rsi_threshold,atr_stretch_threshold,tighten_factor,force_exit,score
either_rsi35_atr1.5_tf0.5_force0,183,18834.75,13834.75,276.695,91.2568306010929,5.940982142857143,11.835617934386427,-525.5,-10.51,99.60928143712574,-200.0,75.59972677595628,2.0546448087431695,75,7671.25,153.42499999999998,96.0,13.785416666666666,16.107493070692254,-200.0,either,35,1.5,0.5,False,833.0402026306487
either_rsi25_atr1.5_tf1.0_force0,183,25934.0,20934.0,418.68,88.52459016393442,6.2335,11.189276365755656,-600.0,-12.0,153.91358024691357,-200.0,114.39344262295081,2.2295081967213113,75,12137.5,242.75000000000003,93.33333333333333,13.1375,13.408706225884883,-400.0,either,25,1.5,1.0,False,821.5960336615891
atr_exhaust_rsi25_atr1.5_tf1.0_force0,183,25921.5,20921.5,418.43000000000006,88.52459016393442,6.230375,11.18294182906442,-600.0,-12.0,153.83641975308643,-200.0,114.32513661202186,2.2295081967213113,75,12137.5,242.75000000000003,93.33333333333333,13.1375,13.408706225884883,-400.0,atr_exhaust,25,1.5,1.0,False,821.3126702443082
atr_exhaust_rsi28_atr1.5_tf1.0_force0,183,25921.5,20921.5,418.43000000000006,88.52459016393442,6.230375,11.18294182906442,-600.0,-12.0,153.83641975308643,-200.0,114.32513661202186,2.2295081967213113,75,12137.5,242.75000000000003,93.33333333333333,13.1375,13.408706225884883,-400.0,atr_exhaust,28,1.5,1.0,False,821.3126702443082
atr_exhaust_rsi30_atr1.5_tf1.0_force0,183,25921.5,20921.5,418.43000000000006,88.52459016393442,6.230375,11.18294182906442,-600.0,-12.0,153.83641975308643,-200.0,114.32513661202186,2.2295081967213113,75,12137.5,242.75000000000003,93.33333333333333,13.1375,13.408706225884883,-400.0,atr_exhaust,30,1.5,1.0,False,821.3126702443082
atr_exhaust_rsi32_atr1.5_tf1.0_force0,183,25921.5,20921.5,418.43000000000006,88.52459016393442,6.230375,11.18294182906442,-600.0,-12.0,153.83641975308643,-200.0,114.32513661202186,2.2295081967213113,75,12137.5,242.75000000000003,93.33333333333333,13.1375,13.408706225884883,-400.0,atr_exhaust,32,1.5,1.0,False,821.3126702443082
atr_exhaust_rsi35_atr1.5_tf1.0_force0,183,25921.5,20921.5,418.43000000000006,88.52459016393442,6.230375,11.18294182906442,-600.0,-12.0,153.83641975308643,-200.0,114.32513661202186,2.2295081967213113,75,12137.5,242.75000000000003,93.33333333333333,13.1375,13.408706225884883,-400.0,atr_exhaust,35,1.5,1.0,False,821.3126702443082
either_rsi32_atr1.4_tf0.5_force0,183,18603.5,13603.5,272.07,91.80327868852459,6.232115384615384,11.884119250729645,-525.5,-10.51,96.44940476190476,-200.0,74.3360655737705,1.8743169398907105,75,7220.5,144.41,96.0,13.034166666666666,14.922729030468755,-400.0,either,32,1.4,0.5,False,813.420869569924
either_rsi30_atr1.4_tf0.5_force0,183,18408.0,13408.0,268.16,91.80327868852459,5.788571428571428,11.491600181807584,-525.5,-10.51,96.47619047619048,-200.0,73.26775956284153,1.8907103825136613,75,7220.5,144.41,96.0,13.034166666666666,14.922729030468755,-400.0,either,30,1.4,0.5,False,793.7595137259933
either_rsi28_atr1.5_tf0.75_force0,183,22123.5,17123.5,342.47,89.07103825136612,5.506184210526316,11.163259838167203,-651.625,-13.032499999999999,128.36503067484662,-200.0,93.57103825136612,2.1366120218579234,75,9663.125,193.26250000000002,93.33333333333333,10.663125,13.716057247167047,-400.0,either,28,1.5,0.75,False,783.2349501080473
