signal_time,trigger,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl_usd,return_pct,r_multiple,rf_prob,risk_usd,tighten_mode,rsi_threshold,atr_stretch_threshold,tighten_factor,force_exit,capital_before,capital_after
2022-06-16 17:00:00,atr_breakdown,2022-06-16 18:00:00,11275.0,2022-06-16 18:00:00,11230.0,tightened_stop,1,90.0,0.40071237756009737,0.45,0.5828119500436594,200.0,either,35,1.1,1.0,False,9728.5,9818.5
2022-06-17 13:00:00,atr_breakdown,2022-06-18 12:00:00,11321.5,2022-06-18 12:00:00,11321.5,tightened_stop,1,0.0,0.0,0.0,0.5027977564875946,200.0,either,35,1.1,1.0,False,9818.5,9818.5
2022-06-22 05:00:00,atr_breakdown,2022-06-22 06:00:00,11570.5,2022-06-22 06:00:00,11555.0,tightened_stop,1,31.0,0.1341410644742469,0.155,0.5590380894257498,200.0,either,35,1.1,1.0,False,9818.5,9849.5
2022-06-28 18:00:00,atr_breakdown,2022-06-28 19:00:00,11858.25,2022-06-28 19:00:00,11809.75,tightened_stop,1,97.0,0.4106776180698102,0.485,0.5042478519927321,200.0,either,35,1.1,1.0,False,9849.5,9946.5
2022-06-30 05:00:00,atr_breakdown,2022-06-30 06:00:00,11742.0,2022-06-30 06:00:00,11638.0,tightened_stop,1,208.0,0.8936243340780248,1.04,0.5928804401122584,200.0,either,35,1.1,1.0,False,9946.5,10154.5
2022-06-30 06:00:00,atr_breakdown,2022-06-30 07:00:00,11665.5,2022-06-30 07:00:00,11633.5,tightened_stop,1,64.0,0.27506769243994533,0.32,0.521905432836356,200.0,either,35,1.1,1.0,False,10154.5,10218.5
2022-08-30 13:00:00,atr_breakdown,2022-08-30 14:00:00,12621.0,2022-08-30 14:00:00,12411.5,tightened_stop,1,419.0,1.6879506908915154,2.095,0.6431210940136393,200.0,either,35,1.1,1.0,False,10218.5,10637.5
2022-08-30 14:00:00,atr_breakdown,2022-08-30 15:00:00,12480.75,2022-08-30 15:00:00,12447.75,tightened_stop,1,66.0,0.26510815207567706,0.33,0.5569889780935365,200.0,either,35,1.1,1.0,False,10637.5,10703.5
2022-08-31 22:00:00,atr_breakdown,2022-08-31 23:00:00,12370.0,2022-08-31 23:00:00,12295.0,tightened_stop,1,150.0,0.6100040666937812,0.75,0.5654216396627657,200.0,either,35,1.1,1.0,False,10703.5,10853.5
2022-09-02 16:00:00,rsi_rollover,2022-09-02 17:00:00,12378.0,2022-09-02 17:00:00,12227.5,tightened_stop,1,301.0,1.2308321406665268,1.505,0.6068317501286705,200.0,either,35,1.1,1.0,False,10853.5,11154.5
