time,open,high,low,close,tick_volume,spread,real_volume,ema100,ema_slope_1,ema_slope_n,ema_slope_pct_n,above_ema,below_ema,dist_pct,ret_1d,fwd_ret_1,fwd_ret_3,fwd_ret_5,fwd_ret_10,fwd_ret_20,above_ema_rising,above_ema_falling,below_ema_falling,below_ema_rising,above_ema_band,below_ema_band,above_rising_band,above_rising,below_falling,buyhold_position,long_above_ema,long_above_rising,long_above_rising_band
2025-02-07,22446.25,22562.0,22147.25,22169.75,1422291,0,1560975,21709.577900607906,9.29640604832457,91.53757851628325,0.004234314357473946,True,False,2.119673176046444,-0.012318315977056349,-0.026804542225329575,0.009957261583914967,0.014084507042253502,0.028958377969981575,-0.027311990437420386,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-02-08,21575.5,21575.5,21575.5,21575.5,10,100,10,21706.922892675077,-2.6550079328299034,78.69029973378201,0.003638313921196862,False,True,-0.6054422974866913,-0.026804542225329575,0.030752473870825803,0.038365275428147605,0.051180737410488675,0.05456420476929846,-0.021633334105814472,False,False,False,True,False,False,False,False,False,1,0,0,0
2025-02-09,22059.0,22250.75,22009.25,22239.0,40120,25,46926,21717.45907301814,10.536180343064188,76.06771954103169,0.0035149181630047986,True,False,2.4014822600947117,0.030752473870825803,0.006812356670713671,0.01092675030352086,0.025102297765187354,0.000663249246818598,-0.047967534511443866,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-02-10,22238.5,22488.0,22236.25,22390.5,902365,0,987614,21730.78661612669,13.327543108549435,79.01687360952565,0.0036494418031040544,True,False,3.0358467713438753,0.006812356670713671,0.0005694379312655151,0.012918425224983876,0.018925437127353062,-0.0017083137937964343,-0.05325919474777252,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-02-11,22390.0,22465.5,22263.75,22403.25,1018401,0,1124898,21744.102722738044,13.316106611353462,93.92743056775362,0.004338414322295217,True,False,3.031384121326286,0.0005694379312655151,0.0035151149944763205,0.017586734067601695,0.019706962159508068,-0.018914666398848423,-0.07240020979099016,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-02-12,22403.5,22493.0,22104.25,22482.0,1284351,0,1421379,21758.714550010558,14.611827272514347,107.39421412086813,0.00496016928551231,True,False,3.324118473667337,0.0035151149944763205,0.008795925629392354,0.014778489458233235,0.014667289387065185,-0.029456898852415314,-0.074759807846277,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-02-13,22481.75,22718.0,22347.0,22679.75,1311641,0,1448976,21776.952875752922,18.238325742364395,115.44086334619715,0.00532930772699883,True,False,4.1456540288163035,0.008795925629392354,0.005180833122058193,0.007275212469273207,0.0032187303651936006,-0.03847044169358127,-0.10902897959633595,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-02-14,22679.75,22818.25,22636.75,22797.25,1008462,0,1121149,21797.156779203357,20.203903450434154,125.73906407201139,0.005802069145860184,True,False,4.588181985968154,0.005180833122058193,0.000745703977453438,0.0006360416278279324,-0.02384059480858436,-0.06712432420577041,-0.09514305453508642,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-02-17,22851.75,22876.0,22786.25,22814.25,238125,0,269135,21817.29723902111,20.140459817754163,132.08581527850765,0.006091054991231958,True,False,4.569552085470052,0.000745703977453438,0.0013368837459044602,-0.0026956836187909117,-0.020250501331404713,-0.05742025269294415,-0.12780389449576468,True,False,False,False,True,False,True,True,False,1,1,1,1
2025-02-18,22814.5,22914.25,22697.25,22844.75,1019243,0,1141678,21837.642838248416,20.345599227304774,137.36134368883359,0.006329933725664852,True,False,4.611794272904057,0.0013368837459044602,-0.0014445332078486528,-0.025870276540561843,-0.03787522297245538,-0.0846912310268223,-0.1214392803598201,True,False,False,False,True,False,True,True,False,1,1,1,1
