family,signal_time,trigger,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl_usd,return_pct,r_multiple,rf_prob,risk_usd,capital_before,capital_after
trail_only_no_target,2022-10-07 12:00:00,atr_breakdown,2022-10-07 13:00:00,11399.5,2022-10-07 13:00:00,11326.535714285714,trail_or_tightened_stop,1,145.92857142857247,0.6441888990140088,1.3352941176470683,0.5726096256155941,109.28571428571429,6108.25,6254.1785714285725
trail_only_no_target,2022-10-07 13:00:00,atr_breakdown,2022-10-07 14:00:00,11272.5,2022-10-07 14:00:00,11261.625,trail_or_tightened_stop,1,21.75,0.09656688088974796,0.17049272116461367,0.6203213360094747,127.57142857142857,6254.1785714285725,6275.9285714285725
trail_only_no_target,2022-10-07 15:00:00,atr_breakdown,2022-10-07 16:00:00,11233.5,2022-10-07 16:00:00,11200.5,trail_or_tightened_stop,1,66.0,0.2946297040310686,0.4676113360323887,0.630825559493564,141.14285714285714,6275.9285714285725,6341.9285714285725
trail_only_no_target,2022-10-07 16:00:00,atr_breakdown,2022-10-07 17:00:00,11182.75,2022-10-07 17:00:00,11168.875,trail_or_tightened_stop,1,27.75,0.12422916363554748,0.18790810157194682,0.6021067910424643,147.67857142857142,6341.9285714285725,6369.6785714285725
trail_only_no_target,2022-10-14 14:00:00,atr_breakdown,2022-10-14 15:00:00,10963.75,2022-10-14 15:00:00,10915.625,trail_or_tightened_stop,1,96.25,0.44088176352705677,0.49035662299854443,0.666377261682464,196.28571428571428,6369.6785714285725,6465.9285714285725
trail_only_no_target,2022-10-14 15:00:00,atr_breakdown,2022-10-14 16:00:00,10879.25,2022-10-14 16:00:00,10854.375,trail_or_tightened_stop,1,49.75,0.22917026544595487,0.24537607891491986,0.7333801185195997,202.75,6465.9285714285725,6515.6785714285725
trail_only_no_target,2022-11-02 13:00:00,atr_breakdown,2022-11-02 14:00:00,11325.75,2022-11-02 14:00:00,11312.875,trail_or_tightened_stop,1,25.75,0.11380838204257948,0.37241735537190085,0.5808418341246756,69.14285714285714,6515.6785714285725,6541.4285714285725
trail_only_no_target,2022-11-02 14:00:00,atr_breakdown,2022-11-02 15:00:00,11315.5,2022-11-02 15:00:00,11292.875,trail_or_tightened_stop,1,45.25,0.20034756428279898,0.6480818414322251,0.5831902463412345,69.82142857142857,6541.4285714285725,6586.6785714285725
trail_only_no_target,2022-11-02 15:00:00,atr_breakdown,2022-11-02 16:00:00,11281.25,2022-11-02 16:00:00,11259.25,trail_or_tightened_stop,1,44.0,0.195394897528689,0.5880668257756564,0.559679158350335,74.82142857142857,6586.6785714285725,6630.6785714285725
trail_only_no_target,2022-11-02 18:00:00,atr_breakdown,2022-11-02 19:00:00,11205.5,2022-11-02 19:00:00,11069.839285714286,trail_or_tightened_stop,1,271.32142857142753,1.2254984989780837,2.0705914418097495,0.6361489964412622,131.03571428571428,6630.6785714285725,6902.0
trail_only_no_target,2022-11-02 19:00:00,atr_breakdown,2022-11-02 20:00:00,10985.25,2022-11-02 20:00:00,10969.875,trail_or_tightened_stop,1,30.75,0.14015656513861607,0.17807652533609103,0.657141582579713,172.67857142857142,6902.0,6932.75
trail_only_no_target,2022-11-28 18:00:00,atr_breakdown,2022-11-28 19:00:00,11675.5,2022-11-29 00:00:00,11648.25,trail_or_tightened_stop,5,54.5,0.23394072070912486,0.5651851851851851,0.5004942921319318,96.42857142857143,6932.75,6987.25
trail_only_no_target,2022-11-29 16:00:00,atr_breakdown,2022-11-29 17:00:00,11570.0,2022-11-29 17:00:00,11561.875,trail_or_tightened_stop,1,16.25,0.07027406886859211,0.179770841564599,0.5209012072385965,90.39285714285714,6987.25,7003.5
trail_only_no_target,2022-12-15 07:00:00,atr_breakdown,2022-12-15 08:00:00,11691.5,2022-12-15 08:00:00,11670.375,trail_or_tightened_stop,1,42.25,0.18101389201290452,0.2945717131474104,0.574565056671844,143.42857142857142,7003.5,7045.75
trail_only_no_target,2022-12-22 12:00:00,atr_breakdown,2022-12-22 13:00:00,11360.25,2022-12-22 13:00:00,11285.857142857143,trail_or_tightened_stop,1,148.78571428571377,0.6591688712801025,3.3980424143556163,0.6949062999703153,43.785714285714285,7045.75,7194.535714285714
trail_only_no_target,2022-12-22 13:00:00,atr_breakdown,2022-12-22 14:00:00,11269.75,2022-12-22 14:00:00,11192.625,trail_or_tightened_stop,1,154.25,0.6890698115946892,2.7197732997481108,0.7380382928989101,56.714285714285715,7194.535714285714,7348.785714285714
trail_only_no_target,2022-12-22 14:00:00,atr_breakdown,2022-12-22 15:00:00,11189.5,2022-12-22 15:00:00,11107.339285714286,trail_or_tightened_stop,1,164.32142857142753,0.7396975294649,2.3225643614336047,0.5677581419130003,70.75,7348.785714285714,7513.107142857141
trail_only_no_target,2022-12-22 15:00:00,atr_breakdown,2022-12-22 16:00:00,11073.0,2022-12-22 16:00:00,11050.75,trail_or_tightened_stop,1,44.5,0.20134380019456444,0.5224318658280922,0.580033447665873,85.17857142857143,7513.107142857141,7557.607142857141
trail_only_no_target,2022-12-22 16:00:00,atr_breakdown,2022-12-22 17:00:00,11046.75,2022-12-22 17:00:00,11009.125,trail_or_tightened_stop,1,75.25,0.3417619474753941,0.8119460500963391,0.5650138767180889,92.67857142857143,7557.607142857141,7632.857142857141
trail_only_no_target,2022-12-22 17:00:00,atr_breakdown,2022-12-22 18:00:00,10994.0,2022-12-22 18:00:00,10965.375,trail_or_tightened_stop,1,57.25,0.2610489837328922,0.5626535626535627,0.5904348117248703,101.75,7632.857142857141,7690.107142857141
trail_only_no_target,2022-12-22 18:00:00,atr_breakdown,2022-12-22 19:00:00,10968.75,2022-12-22 19:00:00,10968.0,trail_or_tightened_stop,1,1.5,0.006838074398252125,0.013820335636722605,0.5692531107730485,108.53571428571429,7690.107142857141,7691.607142857141
trail_only_no_target,2022-12-27 12:00:00,atr_breakdown,2022-12-27 13:00:00,11153.75,2022-12-27 13:00:00,11132.142857142857,trail_or_tightened_stop,1,43.214285714286234,0.19409688803335712,0.771683673469397,0.535032593850797,56.0,7691.607142857141,7734.8214285714275
trail_only_no_target,2022-12-27 13:00:00,atr_breakdown,2022-12-27 14:00:00,11121.75,2022-12-27 14:00:00,11007.92857142857,trail_or_tightened_stop,1,227.6428571428587,1.03399497764598,4.4387186629526765,0.5506931047140131,51.285714285714285,7734.8214285714275,7962.464285714286
trail_only_no_target,2023-01-03 14:00:00,atr_breakdown,2023-01-03 15:00:00,11061.25,2023-01-03 15:00:00,11020.375,trail_or_tightened_stop,1,81.75,0.37090389392375744,0.6946889226100151,0.7177591484127728,117.67857142857143,7962.464285714286,8044.214285714286
trail_only_no_target,2023-01-03 14:00:00,rsi_rollover,2023-01-03 15:00:00,11061.25,2023-01-03 15:00:00,11020.375,trail_or_tightened_stop,1,81.75,0.37090389392375744,0.6946889226100151,0.7177591484127728,117.67857142857143,8044.214285714286,8125.964285714286
trail_only_no_target,2023-01-03 15:00:00,atr_breakdown,2023-01-03 16:00:00,11041.5,2023-01-03 16:00:00,10983.25,trail_or_tightened_stop,1,116.5,0.5303530375799559,0.9256526674233825,0.682482761018739,125.85714285714286,8125.964285714286,8242.464285714286
trail_only_no_target,2023-01-03 16:00:00,atr_breakdown,2023-01-03 17:00:00,10939.5,2023-01-03 17:00:00,10925.0,trail_or_tightened_stop,1,29.0,0.13272311212815247,0.2096565969532662,0.7095989404643626,138.32142857142858,8242.464285714286,8271.464285714286
trail_only_no_target,2023-01-05 13:00:00,atr_breakdown,2023-01-05 14:00:00,10995.5,2023-01-05 14:00:00,10926.267857142857,trail_or_tightened_stop,1,138.46428571428623,0.6336302913522607,1.8074592074592142,0.587421815786972,76.60714285714286,8271.464285714286,8409.928571428572
trail_only_no_target,2023-01-05 14:00:00,atr_breakdown,2023-01-05 15:00:00,10934.5,2023-01-05 15:00:00,10979.767857142857,stop,1,-90.53571428571377,-0.4122842826172146,-0.9999999999999942,0.5014140829361748,90.53571428571429,8409.928571428572,8319.392857142859
trail_only_no_target,2023-01-05 20:00:00,atr_breakdown,2023-01-05 21:00:00,10886.0,2023-01-06 00:00:00,10884.125,trail_or_tightened_stop,3,3.75,0.01722692453458574,0.02993158494868871,0.5309384107593723,125.28571428571429,8319.392857142859,8323.142857142859
trail_only_no_target,2023-01-06 14:00:00,rsi_rollover,2023-01-06 15:00:00,10881.25,2023-01-06 15:00:00,10881.25,trail_or_tightened_stop,1,0.0,0.0,0.0,0.5379772311242339,104.03571428571429,8323.142857142859,8323.142857142859
trail_only_no_target,2023-01-18 15:00:00,rsi_rollover,2023-01-18 16:00:00,11682.0,2023-01-18 16:00:00,11633.0,trail_or_tightened_stop,1,98.0,0.4212155076076751,0.9668780831571528,0.5087298066956029,101.35714285714286,8323.142857142859,8421.142857142859
trail_only_no_target,2023-01-18 16:00:00,atr_breakdown,2023-01-18 17:00:00,11616.75,2023-01-18 17:00:00,11594.875,trail_or_tightened_stop,1,43.75,0.1886609385612248,0.42877143857192856,0.5567785774220739,102.03571428571429,8421.142857142859,8464.892857142859
trail_only_no_target,2024-04-24 15:00:00,atr_breakdown,2024-04-24 16:00:00,17851.25,2024-04-24 17:00:00,17896.60714285714,stop,2,-90.7142857142826,-0.25343989782579124,-0.9999999999999657,0.5043432890467971,90.71428571428571,8464.892857142859,8374.178571428576
trail_only_no_target,2024-04-30 12:00:00,atr_breakdown,2024-04-30 13:00:00,18070.75,2024-04-30 13:00:00,18062.875,trail_or_tightened_stop,1,15.75,0.04359771077417918,0.30371900826446285,0.6352169353378408,51.857142857142854,8374.178571428576,8389.928571428576
trail_only_no_target,2024-04-30 15:00:00,atr_breakdown,2024-04-30 16:00:00,18009.0,2024-04-30 16:00:00,17967.875,trail_or_tightened_stop,1,82.25,0.2288807107128754,0.9846088071825566,0.5909866890773166,83.53571428571429,8389.928571428576,8472.178571428576
trail_only_no_target,2024-04-30 16:00:00,atr_breakdown,2024-04-30 17:00:00,17947.75,2024-04-30 17:00:00,17933.625,trail_or_tightened_stop,1,28.25,0.07876265952924122,0.29636568002997377,0.5743510776392133,95.32142857142857,8472.178571428576,8500.428571428576
trail_only_no_target,2024-04-30 19:00:00,atr_breakdown,2024-04-30 20:00:00,17811.5,2024-04-30 20:00:00,17764.5,trail_or_tightened_stop,1,94.0,0.26457260266261606,0.731111111111111,0.5147116009840766,128.57142857142858,8500.428571428576,8594.428571428576
trail_only_no_target,2024-04-30 20:00:00,atr_breakdown,2024-04-30 22:00:00,17704.0,2024-04-30 22:00:00,17701.0,trail_or_tightened_stop,1,6.0,0.016948195017230105,0.040589514375453,0.5525709213626211,147.82142857142858,8594.428571428576,8600.428571428576
trail_only_no_target,2024-08-01 06:00:00,atr_breakdown,2024-08-01 07:00:00,19814.5,2024-08-01 07:00:00,19811.125,trail_or_tightened_stop,1,6.75,0.017035882616456277,0.03927680798004987,0.675741764986027,171.85714285714286,8600.428571428576,8607.178571428576
trail_only_no_target,2024-08-01 08:00:00,atr_breakdown,2024-08-01 09:00:00,19742.75,2024-08-01 09:00:00,19738.625,trail_or_tightened_stop,1,8.25,0.020898112203870944,0.048366834170854266,0.6728269887905908,170.57142857142858,8607.178571428576,8615.428571428576
trail_only_no_target,2024-08-01 14:00:00,atr_breakdown,2024-08-01 15:00:00,19560.75,2024-08-01 15:00:00,19462.625,trail_or_tightened_stop,1,196.25,0.5041714568307265,1.064509879891515,0.7441951919393747,184.35714285714286,8615.428571428576,8811.678571428576
trail_only_no_target,2024-08-01 14:00:00,rsi_rollover,2024-08-01 15:00:00,19560.75,2024-08-01 15:00:00,19462.625,trail_or_tightened_stop,1,196.25,0.5041714568307265,1.064509879891515,0.7441951919393747,184.35714285714286,8811.678571428576,9007.928571428576
trail_only_no_target,2024-08-01 15:00:00,atr_breakdown,2024-08-01 16:00:00,19380.5,2024-08-01 16:00:00,19336.75,trail_or_tightened_stop,1,87.5,0.22625311906085965,0.421251719394773,0.6904735603690918,207.71428571428572,9007.928571428576,9095.428571428576
trail_only_no_target,2024-08-01 16:00:00,atr_breakdown,2024-08-01 17:00:00,19309.25,2024-08-01 17:00:00,19219.875,trail_or_tightened_stop,1,178.75,0.4650134301081632,0.8004158004158004,0.7389928060927767,223.32142857142858,9095.428571428576,9274.178571428576
