time,open,high,low,close,tick_volume,spread,real_volume,ema100,ema_slope_n,ret_1d,above_ema,below_ema,above_rising,below_falling,buyhold_position,long_only_above,short_only_below_falling,long_above_short_below_falling
2021-06-22,13896.25,14040.25,13827.25,14033.5,512515,25,621043,13483.097430328058,104.00037424401489,0.009913102927153972,True,False,True,False,1,1,0,1
2021-06-23,14033.25,14077.75,13992.75,14047.25,438479,0,586007,13494.268768341364,104.46076287284632,0.000979798339687088,True,False,True,False,1,1,0,1
2021-06-24,14047.75,14183.0,14045.75,14108.75,459026,0,607888,13506.436713522724,104.2387675684331,0.004378081119080335,True,False,True,False,1,1,0,1
2021-06-25,14108.75,14155.25,14074.25,14092.25,415855,0,587603,13518.036976621284,105.16968306212766,-0.0011694870204660424,True,False,True,False,1,1,0,1
2021-06-27,14108.75,14127.25,14098.0,14115.75,8075,25,9643,13529.872878074328,109.40394676386677,0.0016675832461103823,True,False,True,False,1,1,0,1
2021-06-28,14116.0,14280.5,14094.25,14252.75,358581,0,467314,13544.1872765283,110.46525474874034,0.009705470839310726,True,False,True,False,1,1,0,1
2021-06-29,14252.75,14352.0,14229.75,14348.75,415041,0,543480,13560.119211646552,114.82732891212981,0.006735542263773597,True,False,True,False,1,1,0,1
2021-06-30,14348.75,14360.0,14279.0,14321.5,426563,0,547709,13575.196058940679,118.56342140891866,-0.001899120132415666,True,False,True,False,1,1,0,1
2021-07-01,14321.75,14367.5,14231.75,14294.25,469103,25,598058,13589.434750842844,126.01761108398932,-0.0019027336522012828,True,False,True,False,1,1,0,1
2021-07-02,14293.75,14489.75,14274.5,14461.5,401013,25,539933,13606.703369638035,134.7251831417325,0.011700508945904797,True,False,True,False,1,1,0,1
2021-07-04,14463.25,14483.0,14459.0,14475.5,4723,25,5588,13623.907263308569,140.8098329805107,0.0009680876810842509,True,False,True,False,1,1,0,1
2021-07-05,14475.75,14479.75,14435.75,14475.75,66702,0,89342,13640.77543631236,146.5066679709962,1.7270560602300478e-05,True,False,True,False,1,1,0,1
2021-07-06,14475.75,14550.75,14386.25,14525.75,568947,0,750011,13658.299685098253,151.86297157552872,0.0034540524670569894,True,False,True,False,1,1,0,1
2021-07-07,14526.0,14644.75,14487.25,14571.5,659620,25,842280,13676.382859650763,158.3458830294785,0.0031495791955664654,True,False,True,False,1,1,0,1
2021-07-08,14571.25,14582.75,14301.0,14452.25,806094,25,1003196,13691.746565400252,161.87368732592404,-0.00818378341282644,True,False,True,False,1,1,0,1
2021-07-09,14452.25,14593.0,14401.5,14575.5,521480,25,662553,13709.246633412127,165.0593568838267,0.00852808386237447,True,False,True,False,1,1,0,1
2021-07-11,14584.75,14606.0,14583.25,14590.25,7852,25,9611,13726.69224463169,166.57303298513762,0.0010119721450378982,True,False,True,False,1,1,0,1
2021-07-12,14590.25,14649.75,14546.25,14640.75,435084,25,558603,13744.792398203339,169.59633926265997,0.0034612155377735654,True,False,True,False,1,1,0,1
2021-07-13,14640.75,14755.5,14555.25,14606.0,634372,0,828452,13761.8460140805,172.41126323765639,-0.0023735122859143143,True,False,True,False,1,1,0,1
2021-07-14,14605.25,14757.0,14602.0,14664.25,675971,25,813470,13779.715399940293,173.0120303022577,0.003988087087498204,True,False,True,False,1,1,0,1
2021-07-15,14664.5,14723.5,14469.25,14518.0,870805,25,1019702,13794.334896971179,170.42763366260988,-0.009973234226094085,True,False,True,False,1,1,0,1
2021-07-16,14518.0,14630.5,14418.25,14431.75,720994,25,886326,13806.956978219274,166.18154190691348,-0.005940900950544115,True,False,True,False,1,1,0,1
2021-07-18,14431.75,14444.25,14373.5,14404.5,22011,0,25417,13818.78951330404,160.4898282057875,-0.0018881978969979007,True,False,True,False,1,1,0,1
2021-07-19,14404.75,14427.75,14205.25,14351.25,1097350,0,1309043,13829.33328531782,152.95042566705706,-0.003696761428720219,True,False,True,False,1,1,0,1
2021-07-20,14351.25,14543.25,14277.75,14504.5,726874,0,867658,13842.702923232318,150.95635783206671,0.010678512324710399,True,False,True,False,1,1,0,1
2021-07-21,14503.75,14607.5,14427.75,14597.0,634438,0,778145,13857.639499009896,148.39286559776883,0.006377331173084144,True,False,True,False,1,1,0,1
2021-07-22,14596.75,14745.75,14590.0,14732.25,657173,0,858978,13874.958518831481,148.26627419979195,0.009265602521066008,True,False,True,False,1,1,0,1
2021-07-23,14732.5,14878.5,14695.25,14854.0,611656,25,799887,13894.345478854619,149.55308065127974,0.008264182321098268,True,False,True,False,1,1,0,1
2021-07-25,14859.0,14888.75,14852.25,14882.75,8933,0,10935,13913.917845609973,152.07183152947255,0.0019355055877203764,True,False,True,False,1,1,0,1
2021-07-26,14882.25,14895.25,14799.75,14873.0,521214,0,679036,13932.909571439477,153.19417149918445,-0.0006551208613999604,True,False,True,False,1,1,0,1
2021-07-27,14873.0,14892.5,14535.5,14681.75,779211,25,1010417,13947.738094777309,153.40319780613027,-0.012858871781079806,True,False,True,False,1,1,0,1
2021-07-28,14681.5,14835.75,14654.25,14749.5,810402,25,1003705,13963.614568148054,156.65758992878,0.00461457251349473,True,False,True,False,1,1,0,1
2021-07-29,14749.5,14845.0,14623.25,14632.0,582699,0,737045,13976.84992323423,158.06040993018905,-0.007966371741415013,True,False,True,False,1,1,0,1
2021-07-30,14632.25,14740.75,14572.5,14728.25,645598,25,795934,13991.729132675136,162.3958473573166,0.006578048113723423,True,False,True,False,1,1,0,1
2021-08-01,14733.25,14773.0,14731.0,14763.0,10951,0,12532,14007.001823117213,164.29889988489413,0.0023594113353588853,True,False,True,False,1,1,0,1
2021-08-02,14763.0,14817.0,14693.5,14722.25,586460,25,737444,14021.165153352516,163.52565434262033,-0.0027602790760685725,True,False,True,False,1,1,0,1
2021-08-03,14723.0,14811.0,14609.75,14791.5,693042,25,886717,14036.419308731674,161.46078990019305,0.004703764709877989,True,False,True,False,1,1,0,1
2021-08-04,14791.25,14869.0,14757.75,14844.75,567872,25,737774,14052.42585707362,158.08037821900143,0.0036000405638374477,True,False,True,False,1,1,0,1
2021-08-05,14844.25,14933.25,14830.5,14921.5,423290,0,553388,14069.63524604246,155.71740043248792,0.0051701780090605,True,False,True,False,1,1,0,1
2021-08-06,14921.5,14930.5,14808.5,14853.75,483127,0,692585,14085.162270873301,152.2526994338241,-0.004540428241128547,True,False,True,False,1,1,0,1
2021-08-08,14852.25,14856.5,14764.5,14783.0,20397,25,23288,14098.980839766898,151.24274498958948,-0.004763106959521979,True,False,True,False,1,1,0,1
2021-08-09,14782.75,14907.0,14773.25,14879.75,438192,25,614899,14114.44161521706,150.82704706900586,0.006544679699655109,True,False,True,False,1,1,0,1
2021-08-10,14879.5,14918.25,14755.75,14796.5,557786,0,753742,14127.947721846425,151.09779861219613,-0.005594852064046751,True,False,True,False,1,1,0,1
2021-08-11,14796.75,14880.0,14724.0,14756.25,601192,0,830808,14140.389351116793,148.66021844165698,-0.0027202378940965888,True,False,True,False,1,1,0,1
2021-08-12,14756.5,14851.5,14702.0,14829.0,475735,0,637049,14154.025205550124,147.0233824329116,0.00493011435832269,True,False,True,False,1,1,0,1
2021-08-13,14829.25,14902.5,14816.25,14884.75,357275,25,459505,14168.495003460022,147.329850107506,0.0037595252545687963,True,False,True,False,1,1,0,1
2021-08-14,15123.75,15123.75,15123.75,15123.75,1,900,1,14187.410943985567,150.99163525389304,0.016056702329565464,True,False,True,False,1,1,0,1
2021-08-15,14884.75,14884.75,14866.0,14875.0,6369,0,7240,14201.02656885714,148.60071178351973,-0.01644764030085133,True,False,True,False,1,1,0,1
2021-08-16,14875.25,14900.0,14678.0,14891.5,565053,0,764266,14214.69931006789,145.06406402542962,0.00110924369747889,True,False,True,False,1,1,0,1
2021-08-17,14891.0,14893.0,14658.0,14718.0,764858,0,960510,14224.665660363575,139.50338949027355,-0.011650941812443305,True,False,True,False,1,1,0,1
2021-08-18,14717.75,14798.0,14567.5,14606.25,730291,0,899778,14232.221785900929,133.2409461340303,-0.007592743579290628,True,False,True,False,1,1,0,1
2021-08-19,14606.75,14760.0,14472.0,14677.75,964261,0,1141312,14241.044126774179,126.60251155711921,0.004895164741121061,True,False,True,False,1,1,0,1
2021-08-20,14678.0,14861.0,14612.75,14856.0,564595,25,711525,14253.221470798451,125.27374895202593,0.012144231915654613,True,False,True,False,1,1,0,1
2021-08-22,14856.0,14881.75,14848.5,14868.5,10900,0,12484,14265.405204049968,125.01585293317476,0.0008414108777599072,True,False,True,False,1,1,0,1
2021-08-23,14868.25,15099.0,14864.25,15090.5,511746,25,653955,14281.74371486086,127.71850931073641,0.014930894172243248,True,False,True,False,1,1,0,1
2021-08-24,15090.75,15145.0,15070.25,15118.5,434465,25,539824,14298.313146249755,129.81814278973252,0.0018554719856862523,True,False,True,False,1,1,0,1
2021-08-25,15118.75,15158.0,15094.0,15123.0,455171,0,578039,14314.643578997284,127.23263501171641,0.0002976485762475889,True,False,True,False,1,1,0,1
2021-08-26,15123.0,15125.75,15016.5,15039.0,649535,25,784470,14328.987270502286,127.9607016451464,-0.005554453481452115,True,False,True,False,1,1,0,1
2021-08-27,15038.5,15204.75,15026.5,15189.0,495365,25,667948,14346.017225541846,131.3179154739555,0.009974067424695754,True,False,True,False,1,1,0,1
2021-08-28,15428.0,15428.0,15428.0,15428.0,2,175,2,14367.442627016264,142.77696665268923,0.015735071433274017,True,False,True,False,1,1,0,1
