atr_col,rsi_min,atr_max,score_avg_final_move,count,avg_favorable,median_favorable,p60_favorable,p70_favorable,p80_favorable,p90_favorable,avg_adverse,median_adverse,p60_adverse,p70_adverse,p80_adverse,p90_adverse,avg_final_move,median_final_move,hit_100,hit_150,hit_200,hit_250,hit_300
d_atr7,56,650,170.84438775510205,98,480.07397959183675,485.375,590.65,660.95,738.7,873.675,323.9362244897959,266.375,356.49999999999994,479.3999999999999,572.35,638.6999999999998,170.84438775510205,96.375,0.9183673469387755,0.8469387755102041,0.8061224489795918,0.7244897959183674,0.6224489795918368
d_atr7,56,675,170.84438775510205,98,480.07397959183675,485.375,590.65,660.95,738.7,873.675,323.9362244897959,266.375,356.49999999999994,479.3999999999999,572.35,638.6999999999998,170.84438775510205,96.375,0.9183673469387755,0.8469387755102041,0.8061224489795918,0.7244897959183674,0.6224489795918368
d_atr7,56,700,170.84438775510205,98,480.07397959183675,485.375,590.65,660.95,738.7,873.675,323.9362244897959,266.375,356.49999999999994,479.3999999999999,572.35,638.6999999999998,170.84438775510205,96.375,0.9183673469387755,0.8469387755102041,0.8061224489795918,0.7244897959183674,0.6224489795918368
d_atr7,58,150,,0,,,,,,,,,,,,,,,,,,,
d_atr7,58,175,,0,,,,,,,,,,,,,,,,,,,
d_atr7,58,200,,0,,,,,,,,,,,,,,,,,,,
d_atr7,58,225,,0,,,,,,,,,,,,,,,,,,,
d_atr7,58,250,,0,,,,,,,,,,,,,,,,,,,
d_atr7,58,275,,0,,,,,,,,,,,,,,,,,,,
d_atr7,58,300,,2,175.625,175.625,183.1,190.575,198.05,205.525,245.625,245.625,253.1,260.575,268.05,275.525,61.75,61.75,1.0,0.5,0.5,0.0,0.0
d_atr7,58,325,,2,175.625,175.625,183.1,190.575,198.05,205.525,245.625,245.625,253.1,260.575,268.05,275.525,61.75,61.75,1.0,0.5,0.5,0.0,0.0
d_atr7,58,350,,3,226.75,213.0,236.2,259.4,282.6,305.8,190.0,208.25,223.2,238.15,253.1,268.05,128.83333333333334,102.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
d_atr7,58,375,,14,467.375,434.375,552.95,733.95,759.2,806.475,174.85714285714286,201.25,209.65,248.9,271.45,344.9500000000001,280.4642857142857,325.75,1.0,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.5714285714285714
d_atr7,58,400,225.68333333333334,30,499.4,548.0,637.75,687.75,734.9,820.8750000000001,240.6,201.25,232.39999999999998,297.92499999999984,383.2500000000001,482.47500000000014,225.68333333333334,364.875,0.9333333333333333,0.8,0.8,0.7333333333333333,0.6666666666666666
d_atr7,58,425,216.21969696969697,33,509.95454545454544,556.25,636.75,689.75,738.7,809.65,235.74242424242425,194.25,227.45,302.8999999999999,380.85,464.8,216.21969696969697,341.25,0.9393939393939394,0.8181818181818182,0.8181818181818182,0.7575757575757576,0.696969696969697
d_atr7,58,450,128.625,56,477.48214285714283,434.875,556.25,672.25,742.5,903.875,328.41964285714283,273.375,402.75,514.875,568.0,679.75,128.625,23.125,0.9642857142857143,0.875,0.8214285714285714,0.6785714285714286,0.5535714285714286
d_atr7,58,475,134.93859649122808,57,481.06140350877195,468.25,557.3,681.55,740.6,902.0,322.75877192982455,263.75,395.75,511.79999999999995,566.8000000000001,667.3999999999999,134.93859649122808,24.75,0.9649122807017544,0.8771929824561403,0.8245614035087719,0.6842105263157895,0.5614035087719298
d_atr7,58,500,180.10227272727272,66,485.3901515151515,473.0,580.0,654.0,732.5,879.625,294.75,209.125,332.75,454.375,547.75,609.875,180.10227272727272,182.5,0.9696969696969697,0.8939393939393939,0.8484848484848485,0.7272727272727273,0.6060606060606061
d_atr7,58,525,175.0808823529412,68,480.24264705882354,469.875,562.3999999999999,645.925,724.1,873.6750000000002,293.50367647058823,216.25,292.94999999999976,435.22499999999997,539.85,606.6250000000001,175.0808823529412,110.75,0.9705882352941176,0.8970588235294118,0.8529411764705882,0.7352941176470589,0.6029411764705882
d_atr7,58,550,175.0808823529412,68,480.24264705882354,469.875,562.3999999999999,645.925,724.1,873.6750000000002,293.50367647058823,216.25,292.94999999999976,435.22499999999997,539.85,606.6250000000001,175.0808823529412,110.75,0.9705882352941176,0.8970588235294118,0.8529411764705882,0.7352941176470589,0.6029411764705882
d_atr7,58,575,175.0808823529412,68,480.24264705882354,469.875,562.3999999999999,645.925,724.1,873.6750000000002,293.50367647058823,216.25,292.94999999999976,435.22499999999997,539.85,606.6250000000001,175.0808823529412,110.75,0.9705882352941176,0.8970588235294118,0.8529411764705882,0.7352941176470589,0.6029411764705882
d_atr7,58,600,175.0808823529412,68,480.24264705882354,469.875,562.3999999999999,645.925,724.1,873.6750000000002,293.50367647058823,216.25,292.94999999999976,435.22499999999997,539.85,606.6250000000001,175.0808823529412,110.75,0.9705882352941176,0.8970588235294118,0.8529411764705882,0.7352941176470589,0.6029411764705882
d_atr7,58,625,175.0808823529412,68,480.24264705882354,469.875,562.3999999999999,645.925,724.1,873.6750000000002,293.50367647058823,216.25,292.94999999999976,435.22499999999997,539.85,606.6250000000001,175.0808823529412,110.75,0.9705882352941176,0.8970588235294118,0.8529411764705882,0.7352941176470589,0.6029411764705882
d_atr7,58,650,175.0808823529412,68,480.24264705882354,469.875,562.3999999999999,645.925,724.1,873.6750000000002,293.50367647058823,216.25,292.94999999999976,435.22499999999997,539.85,606.6250000000001,175.0808823529412,110.75,0.9705882352941176,0.8970588235294118,0.8529411764705882,0.7352941176470589,0.6029411764705882
d_atr7,58,675,175.0808823529412,68,480.24264705882354,469.875,562.3999999999999,645.925,724.1,873.6750000000002,293.50367647058823,216.25,292.94999999999976,435.22499999999997,539.85,606.6250000000001,175.0808823529412,110.75,0.9705882352941176,0.8970588235294118,0.8529411764705882,0.7352941176470589,0.6029411764705882
d_atr7,58,700,175.0808823529412,68,480.24264705882354,469.875,562.3999999999999,645.925,724.1,873.6750000000002,293.50367647058823,216.25,292.94999999999976,435.22499999999997,539.85,606.6250000000001,175.0808823529412,110.75,0.9705882352941176,0.8970588235294118,0.8529411764705882,0.7352941176470589,0.6029411764705882
d_atr7,60,150,,0,,,,,,,,,,,,,,,,,,,
d_atr7,60,175,,0,,,,,,,,,,,,,,,,,,,
d_atr7,60,200,,0,,,,,,,,,,,,,,,,,,,
d_atr7,60,225,,0,,,,,,,,,,,,,,,,,,,
d_atr7,60,250,,0,,,,,,,,,,,,,,,,,,,
d_atr7,60,275,,0,,,,,,,,,,,,,,,,,,,
d_atr7,60,300,,2,175.625,175.625,183.1,190.575,198.05,205.525,245.625,245.625,253.1,260.575,268.05,275.525,61.75,61.75,1.0,0.5,0.5,0.0,0.0
d_atr7,60,325,,2,175.625,175.625,183.1,190.575,198.05,205.525,245.625,245.625,253.1,260.575,268.05,275.525,61.75,61.75,1.0,0.5,0.5,0.0,0.0
d_atr7,60,350,,3,226.75,213.0,236.2,259.4,282.6,305.8,190.0,208.25,223.2,238.15,253.1,268.05,128.83333333333334,102.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
d_atr7,60,375,,14,467.375,434.375,552.95,733.95,759.2,806.475,174.85714285714286,201.25,209.65,248.9,271.45,344.9500000000001,280.4642857142857,325.75,1.0,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.5714285714285714
d_atr7,60,400,240.22413793103448,29,512.3448275862069,556.25,639.75,693.75,736.8000000000001,825.75,241.22413793103448,194.25,239.80000000000004,312.8499999999999,392.2500000000001,493.19999999999993,240.22413793103448,388.5,0.9310344827586207,0.8275862068965517,0.8275862068965517,0.7586206896551724,0.6896551724137931
d_atr7,60,425,229.1015625,32,522.015625,557.125,638.75,695.75,740.6,812.825,236.15625,186.75,232.3499999999999,317.825,383.05,468.2750000000001,229.1015625,364.875,0.9375,0.84375,0.84375,0.78125,0.71875
