rsi_lo,rsi_hi,st_period,st_mult,direction,stop_mult,tp_mode,tp_param,n_trades,win_rate,expectancy,profit_factor,median_rr,total_usd
50,60,10,3.0,1,1.5,fixed_rr,1.5,31,0.4838709677419355,-60.076256511690346,0.8194284458803962,-0.3644673325599504,-1862.3639518624007
50,60,10,3.0,1,2.0,fixed_rr,1.5,31,0.4838709677419355,-60.076256511690346,0.8194284458803962,-0.3644673325599504,-1862.3639518624007
50,60,10,2.5,1,1.0,atr_multiple,2.0,33,0.5757575757575758,-62.791678694151926,0.7479755515928774,0.3839229225357166,-2072.1253969070135
50,60,10,2.5,1,1.5,atr_multiple,2.0,33,0.5757575757575758,-62.791678694151926,0.7479755515928774,0.3839229225357166,-2072.1253969070135
50,60,10,2.5,1,2.0,atr_multiple,2.0,33,0.5757575757575758,-62.791678694151926,0.7479755515928774,0.3839229225357166,-2072.1253969070135
50,60,10,3.0,1,1.0,atr_multiple,3.0,31,0.5483870967741935,-62.807963804711626,0.8018014481336092,0.06274961709872154,-1947.0468779460605
50,60,10,3.0,1,1.5,atr_multiple,3.0,31,0.5483870967741935,-62.807963804711626,0.8018014481336092,0.06274961709872154,-1947.0468779460605
50,60,10,3.0,1,2.0,atr_multiple,3.0,31,0.5483870967741935,-62.807963804711626,0.8018014481336092,0.06274961709872154,-1947.0468779460605
50,60,10,2.5,1,1.0,fixed_rr,2.5,33,0.42424242424242425,-73.70345610141756,0.7765110292786037,-1.0008163265306123,-2432.2140513467793
50,60,10,2.5,1,1.5,fixed_rr,2.5,33,0.42424242424242425,-73.70345610141756,0.7765110292786037,-1.0008163265306123,-2432.2140513467793
50,60,10,2.5,1,2.0,fixed_rr,2.5,33,0.42424242424242425,-73.70345610141756,0.7765110292786037,-1.0008163265306123,-2432.2140513467793
50,60,14,2.5,1,1.0,fixed_rr,2.5,34,0.4117647058823529,-80.8096468403752,0.7535147708023492,-1.0009409283159187,-2747.5279925727564
50,60,14,2.5,1,1.5,fixed_rr,2.5,34,0.4117647058823529,-80.8096468403752,0.7535147708023492,-1.0009409283159187,-2747.5279925727564
50,60,14,2.5,1,2.0,fixed_rr,2.5,34,0.4117647058823529,-80.8096468403752,0.7535147708023492,-1.0009409283159187,-2747.5279925727564
50,60,10,2.5,1,1.0,fixed_rr,2.0,33,0.42424242424242425,-85.78230132813519,0.7398846778154308,-1.0008163265306123,-2830.815943828461
50,60,10,2.5,1,1.5,fixed_rr,2.0,33,0.42424242424242425,-85.78230132813519,0.7398846778154308,-1.0008163265306123,-2830.815943828461
50,60,10,2.5,1,2.0,fixed_rr,2.0,33,0.42424242424242425,-85.78230132813519,0.7398846778154308,-1.0008163265306123,-2830.815943828461
50,60,14,2.5,1,1.0,fixed_rr,2.0,34,0.4117647058823529,-85.78328722504111,0.7383441947870597,-1.0009409283159187,-2916.6317656513975
50,60,14,2.5,1,1.5,fixed_rr,2.0,34,0.4117647058823529,-85.78328722504111,0.7383441947870597,-1.0009409283159187,-2916.6317656513975
50,60,14,2.5,1,2.0,fixed_rr,2.0,34,0.4117647058823529,-85.78328722504111,0.7383441947870597,-1.0009409283159187,-2916.6317656513975
50,60,14,2.5,1,1.0,atr_multiple,3.0,34,0.5,-90.18406910579584,0.7007342138350277,-0.16498441256189483,-3066.2583495970584
50,60,14,2.5,1,1.5,atr_multiple,3.0,34,0.5,-90.18406910579584,0.7007342138350277,-0.16498441256189483,-3066.2583495970584
50,60,14,2.5,1,2.0,atr_multiple,3.0,34,0.5,-90.18406910579584,0.7007342138350277,-0.16498441256189483,-3066.2583495970584
50,60,10,2.5,1,1.0,fixed_rr,1.5,33,0.42424242424242425,-109.37392416295597,0.6683484462207511,-1.0008163265306123,-3609.339497377547
50,60,10,2.5,1,1.5,fixed_rr,1.5,33,0.42424242424242425,-109.37392416295597,0.6683484462207511,-1.0008163265306123,-3609.339497377547
50,60,10,2.5,1,2.0,fixed_rr,1.5,33,0.42424242424242425,-109.37392416295597,0.6683484462207511,-1.0008163265306123,-3609.339497377547
50,60,14,2.5,1,1.0,fixed_rr,1.5,34,0.4117647058823529,-110.04898307722345,0.6643290760775556,-1.0009409283159187,-3741.6654246255976
50,60,14,2.5,1,1.5,fixed_rr,1.5,34,0.4117647058823529,-110.04898307722345,0.6643290760775556,-1.0009409283159187,-3741.6654246255976
50,60,14,2.5,1,2.0,fixed_rr,1.5,34,0.4117647058823529,-110.04898307722345,0.6643290760775556,-1.0009409283159187,-3741.6654246255976
50,60,10,2.5,1,1.0,atr_multiple,3.0,33,0.48484848484848486,-116.36091622023632,0.6333407850469204,-0.3740494296577947,-3839.9102352677987
50,60,10,2.5,1,1.5,atr_multiple,3.0,33,0.48484848484848486,-116.36091622023632,0.6333407850469204,-0.3740494296577947,-3839.9102352677987
50,60,10,2.5,1,2.0,atr_multiple,3.0,33,0.48484848484848486,-116.36091622023632,0.6333407850469204,-0.3740494296577947,-3839.9102352677987
