model,fold,feature,importance_mean,importance_std
combined,3,d1_trigger_close_pos,0.018356643356643304,0.02470855598794155
combined,3,d1_consec_red,0.006993006993006978,0.020387943688270283
combined,3,d1_consec_green,0.016608391608391587,0.026150830946943322
combined,3,d1_price_vs_slow_ma,0.0,0.0
combined,3,d1_ma_band_width,0.0,0.0
combined,3,d1_day_of_week,0.01136363636363634,0.012576481267428434
combined,3,h1_body_ratio,0.013111888111888043,0.029963525351403165
combined,3,h1_atr_vs_d1,-0.034965034965035016,0.031077602857746824
combined,3,h1_hour_gmt,0.009615384615384581,0.010453025125088633
combined,3,h1_above_trigger,0.0,0.0
combined,3,h1_rsi_7,-0.03758741258741265,0.039238419034026965
combined,3,h1_rsi_14,-0.007867132867132892,0.03590306429705046
combined,3,h1_atr_14,0.0008741258741258862,0.0023127196775040446
combined,3,h1_atr_pct_60,0.006118881118881092,0.013285563071303012
combined,3,h1_close_location,-0.04020979020979028,0.0481642563425032
combined,3,h1_upper_wick_ratio,0.03496503496503492,0.018501757420032083
combined,3,h1_lower_wick_ratio,-0.033216783216783285,0.06548363916198614
combined,3,h1_down_bars_last_3,0.005244755244755248,0.003028060852393144
combined,3,h1_down_bars_last_5,0.044580419580419556,0.013958670824013406
combined,3,h1_pullback_depth_atr,-0.04545454545454551,0.029874138969641716
combined,3,h1_fast_minus_slow_atr,-0.0034965034965035446,0.004944802665640261
combined,3,d1_ema50_slope_5,0.0,0.0
combined,3,d1_ema100_slope_5,0.0,0.0
combined,3,close_above_d_50,0.0,0.0
combined,3,close_above_d_100,0.0,0.0
combined,3,close_above_d_200,0.0,0.0
combined,3,dist_prev_day_high,0.0157342657342657,0.01431005729348328
combined,3,dist_prev_day_low,-0.01311188811188814,0.045243931100026336
combined,3,dist_prev_day_close,0.05419580419580418,0.019701796625147986
combined,3,bars_since_20bar_high,0.02709790209790204,0.032695112253959865
