time,setup_type,d1_rsi_14,d1_atr_ratio,d1_trigger_bar_size,d1_trigger_close_pos,d1_consec_red,d1_consec_green,d1_price_vs_slow_ma,d1_ma_band_width,d1_day_of_week,h1_body_ratio,h1_atr_vs_d1,h1_hour_gmt,h1_above_trigger,h1_rsi_7,h1_rsi_14,h1_atr_14,h1_atr_pct_60,h1_close_location,h1_upper_wick_ratio,h1_lower_wick_ratio,h1_down_bars_last_3,h1_down_bars_last_5,h1_pullback_depth_atr,h1_fast_minus_slow_atr,d1_ema50_slope_5,d1_ema100_slope_5,close_above_d_50,close_above_d_100,close_above_d_200,dist_prev_day_high,dist_prev_day_low,dist_prev_day_close,bars_since_20bar_high,label,entry,stop,target,mae_r,mfe_r,exit_r,bars_held,setup_type_code
2025-06-23 23:00:00+00:00,rsi_2300,72.61847946315618,0.7625248454767596,1.7547287865666719,0.9635701275045537,0,2,6.772104037762092,1.032045502877191,0,0.5669642857142857,0.2840398029861248,23,0.0,82.7617263498338,79.71944995215813,88.86721015416452,0.9333333333333333,0.6428571428571429,0.35714285714285715,0.07589285714285714,0.0,1.0,-0.20536258501128116,4.1277743345680955,36.68358580031636,24.002417349023016,1,1,1,1.4391013408955264,2.155056255633112,1.5198060801684015,0.0,1,22523.5,22390.199184768753,22790.101630462494,-0.32257867234648724,3.557742682798176,2.0,36,2
2025-10-06 00:00:00+00:00,daily_dip,61.235242536575974,0.971223620183663,0.6479496822570161,0.46634615384615385,0,2,10.751262119184844,2.3226704555740643,0,0.13402061855670103,0.31591127583908046,0,0.0,60.49055948860321,53.92767421379739,101.4114940926298,0.9666666666666667,0.5567010309278351,0.30927835051546393,0.5567010309278351,1.0,1.0,0.9047297924256501,3.2021537182804227,37.7714476563051,33.60993021811591,1,1,1,-0.07164828217265082,0.21883877489690085,-0.007787856757896828,16.0,1,25579.0,25426.882758861055,25883.23448227789,-0.5176927967558197,2.1628054620020913,2.0,67,1
2025-10-16 17:00:00+00:00,daily_dip,51.490675099766015,1.273984210807315,1.1946045689590077,0.21761416589002797,1,0,6.3896820924112125,1.577432822178954,3,0.45108695652173914,0.22634325443204995,17,0.0,26.63915873666309,39.17042601546433,101.65134066799448,0.65,0.2826086956521739,0.266304347826087,0.2826086956521739,3.0,4.0,3.096368409227493,0.43183552859080426,22.623139911265024,25.649537000806596,1,1,1,-0.5627890117509584,0.44867254547109053,-0.17423636071023738,3.0,0,25380.25,25227.772988998007,25685.204022003985,-2.984056396501987,3.2972183589920308,-1.0,1,1
2025-10-16 18:00:00+00:00,daily_dip,51.490675099766015,1.273984210807315,1.1946045689590077,0.21761416589002797,1,0,6.3896820924112125,1.577432822178954,3,0.29321663019693656,0.2465181962512935,18,0.0,21.295614426180535,34.55598467069973,110.71195919170916,0.8166666666666667,0.6783369803063457,0.028446389496717725,0.6783369803063457,3.0,4.0,3.44587886245779,0.35320427737726023,22.623139911265024,25.649537000806596,1,1,1,-0.7114187507593718,0.30004280646267717,-0.32286609971865077,4.0,0,25313.25,25147.182061212436,25645.38587757513,-2.3363931824091178,3.4308247826742133,-1.0,10,1
2025-10-16 20:00:00+00:00,daily_dip,51.490675099766015,1.273984210807315,1.1946045689590077,0.21761416589002797,1,0,6.3896820924112125,1.577432822178954,3,0.33867276887871856,0.2525679833153451,20,0.0,25.896864432481877,35.83052035104305,113.42893420101454,0.8166666666666667,0.4416475972540046,0.21967963386727687,0.4416475972540046,2.0,4.0,3.4030117863573075,0.2731610450193576,22.623139911265024,25.649537000806596,1,1,1,-0.7214387331644334,0.2900228240576156,-0.33288608212371235,6.0,0,25308.75,25138.60659869848,25649.03680260304,-2.253981036386939,3.3750941594398944,-1.0,8,1
2025-10-16 22:00:00+00:00,daily_dip,51.490675099766015,1.273984210807315,1.1946045689590077,0.21761416589002797,1,0,6.3896820924112125,1.577432822178954,3,0.4322033898305085,0.2532949991705548,22,0.0,21.72976455742763,32.61301292807755,113.75543890094208,0.8333333333333334,0.019067796610169493,0.548728813559322,0.019067796610169493,2.0,4.0,3.8415745587385794,0.2195880502720222,22.623139911265024,25.649537000806596,1,1,1,-0.8349985337551312,0.17646302346691772,-0.44644588271441016,7.0,0,25257.0,25086.366841648585,25598.26631670283,-1.9442293819397582,3.6686890522812017,-1.0,8,1
2025-10-17 01:00:00+00:00,daily_dip,54.669816817842445,1.3027035805381646,1.3908571432711319,0.9670031055900621,0,1,6.741924997586816,1.5294438825507999,4,0.18544600938967137,0.22667333704142373,1,0.0,28.826227827841947,35.51137839878763,104.95515643781698,0.6833333333333333,0.2676056338028169,0.5469483568075117,0.2676056338028169,1.0,3.0,4.02076481349464,0.10050648899754437,23.67321285592043,26.119843198810848,1,1,1,-0.9114001777335679,0.24728748898221212,-0.004859361137205042,10.0,0,25273.5,25116.067265343274,25588.365469313452,-2.2120558393357075,3.8714947137835285,-1.0,5,1
2025-10-20 08:00:00+00:00,daily_dip,57.01018385761541,1.3054628793361474,0.8497621910073915,0.9216791979949874,0,1,7.138834217821038,1.4923566408582298,0,0.6937269372693727,0.2355357507929499,8,0.0,55.70684155351128,56.763162560193386,110.5941939532228,0.6166666666666667,0.1070110701107011,0.1992619926199262,0.1070110701107011,2.0,2.0,0.7143232133272208,0.24552883436099962,22.93053741989206,25.535175289514882,1,1,1,-0.05590540730311786,0.1836891954245301,0.13097838282444754,1.0,0,25589.25,25423.358709070166,25921.03258185967,-1.6215438344727626,1.7707379233322456,-1.0,54,1
2025-10-20 10:00:00+00:00,daily_dip,57.01018385761541,1.3054628793361474,0.8497621910073915,0.9216791979949874,0,1,7.138834217821038,1.4923566408582298,0,0.7109375,0.21819319545316962,10,0.0,49.60316278270456,54.333746337326566,102.45111621476863,0.5,0.03515625,0.25390625,0.03515625,2.0,3.0,1.085883727872581,0.35257346558105374,22.93053741989206,25.535175289514882,1,1,1,-0.12458919341837695,0.11500540930927103,0.06229459670918847,3.0,1,25556.0,25402.323325677848,25863.353348644305,-1.5340649518859142,2.127844068999762,2.0,7,1
2025-10-26 23:00:00+00:00,daily_dip,58.76528686788774,1.2804527726578132,0.19163404634825895,0.20949720670391062,0,1,7.7397767246344555,1.5211371581702842,6,0.11538461538461539,0.2861872250212317,23,0.0,62.321610425056,61.94408185121592,133.65973910946929,0.9833333333333333,0.23076923076923078,0.6538461538461539,0.23076923076923078,1.0,2.0,0.5293291792381453,1.8962473000088311,31.163920650636282,29.64948898340226,1,1,1,1.5459193459602565,1.5459193459602565,1.5459193459602565,1.0,1,26232.0,26032.0,26632.0,-0.0475,3.3075,2.0,40,1
