signal_time,trigger,label,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,bars_held,return_pct,r_multiple,pnl_usd,rf_prob,capital_before,capital_after
2022-09-15 14:00:00,atr_breakdown,0,2022-09-15 15:00:00,12079.75,12136.92857142857,11993.982142857143,2022-09-15 15:00:00,12136.92857142857,stop,1,-0.4711123666260475,-0.9999999999999863,-114.3571428571413,0.563583170439697,4934.482142857138,4820.124999999996
2022-09-20 17:00:00,atr_breakdown,0,2022-09-20 18:00:00,11881.75,11936.589285714286,11799.49107142857,2022-09-20 18:00:00,11936.589285714286,stop,1,-0.45942173598884084,-1.0000000000000095,-109.67857142857247,0.652412305609051,4820.124999999996,4710.446428571424
2022-09-21 19:00:00,rsi_rollover,1,2022-09-21 20:00:00,11753.0,11854.44642857143,11600.830357142857,2022-09-22 01:00:00,11600.830357142857,target,5,1.3117133702713835,1.5000000000000027,304.33928571428623,0.6561931681642116,4710.446428571424,5014.78571428571
2022-09-21 19:00:00,atr_breakdown,1,2022-09-21 20:00:00,11753.0,11854.44642857143,11600.830357142857,2022-09-22 01:00:00,11600.830357142857,target,5,1.3117133702713835,1.5000000000000027,304.33928571428623,0.6561931681642116,5014.78571428571,5319.124999999996
2022-09-22 13:00:00,atr_breakdown,0,2022-09-22 14:00:00,11638.5,11706.55357142857,11536.419642857143,2022-09-22 19:00:00,11706.55357142857,stop,6,-0.5813288344288181,-0.9999999999999886,-136.1071428571413,0.5130030058037247,5319.124999999996,5183.017857142855
2022-09-23 13:00:00,atr_breakdown,0,2022-09-23 14:00:00,11398.25,11447.892857142857,11323.785714285714,2022-09-23 14:00:00,11447.892857142857,stop,1,-0.4336418742064141,-0.9999999999999947,-99.28571428571377,0.5000681075828973,5183.017857142855,5083.732142857141
2022-09-27 15:00:00,atr_breakdown,1,2022-09-27 16:00:00,11391.25,11454.732142857143,11296.026785714286,2022-09-27 16:00:00,11296.026785714286,target,1,0.8429797139480888,1.4999999999999918,190.44642857142753,0.6458190534945281,5083.732142857141,5274.178571428569
2022-09-27 16:00:00,atr_breakdown,0,2022-09-27 17:00:00,11346.25,11415.767857142857,11241.973214285714,2022-09-27 22:00:00,11415.767857142857,stop,5,-0.6089634793980059,-0.9999999999999963,-139.03571428571377,0.7120348851975713,5274.178571428569,5135.142857142855
2022-09-29 07:00:00,atr_breakdown,0,2022-09-29 08:00:00,11436.25,11488.482142857143,11357.901785714286,2022-09-29 09:00:00,11488.482142857143,stop,2,-0.45464790045931514,-1.000000000000005,-104.46428571428623,0.5012324838369246,5135.142857142855,5030.678571428569
2022-09-29 13:00:00,atr_breakdown,1,2022-09-29 14:00:00,11303.0,11369.857142857143,11202.714285714286,2022-09-29 14:00:00,11202.714285714286,target,1,0.8951912164143927,1.4999999999999922,200.57142857142753,0.6624461796061193,5030.678571428569,5231.249999999996
