time,open,high,low,close,tick_volume,spread,real_volume,body,body_abs,range,upper_wick,lower_wick,is_red,is_green,ret_1,ret_3,ret_5,ret_10,log_ret,rsi,atr,adx,ema_10,ema_20,ema_50,ema_100,ema_200,ema10_slope_5,ema20_slope_5,ema50_slope_5,dist_ema20_atr,dist_ema50_atr,dist_ema200_atr,rolling_red_ratio_5,rolling_red_ratio_10,rolling_green_ratio_5,rolling_vol_10,downside_vol_10,drawdown_pct,red_streak,green_streak,date,label,bear_window_id
2025-02-21 00:00:00+00:00,22752.5,22840.0,22246.5,22253.75,1455309,0,1627585,-498.75,498.75,593.5,87.5,7.25,1,0,-0.021931414883915146,-0.025870276540561843,-0.02384059480858436,0.000663249246818598,-0.02217548347561049,47.71546566508484,357.90401090736793,11.295447114207526,22558.792951169755,22436.92649448273,22219.962827850555,21882.17757122394,21155.236566849788,145.83322147337822,151.47664431785233,103.1034295770296,-0.511803413486024,0.0944028877010533,3.069296234946435,0.8,0.4,0.2,0.00859568209923063,,-0.025870276540561843,3,0,2025-02-21 00:00:00+00:00,ACTIVE_BEAR,11.0
2025-02-23 00:00:00+00:00,22295.0,22369.25,22272.0,22352.25,34318,25,40293,57.25,57.25,97.25,17.0,23.0,0,1,0.004426220299949435,-0.020143127993249133,-0.020250501331404713,-0.0017083137937964343,0.004416453396581588,49.613093192261466,340.5894386996988,10.774959515993297,22521.239687320707,22428.862066436755,22225.15056009171,21891.4859361502,21167.14714827417,35.31809029639771,93.05029723996267,80.94251077008812,-0.22493964207828845,0.37317492989074513,3.479564299616314,0.6,0.4,0.4,0.008420440929109785,,-0.0215585637838015,0,1,2025-02-23 00:00:00+00:00,ACTIVE_BEAR,11.0
2025-02-24 00:00:00+00:00,22352.25,22407.25,21960.75,21979.5,1554172,0,1736907,-372.75,372.75,446.5,55.0,18.75,1,0,-0.01667617353957651,-0.03398490292382239,-0.03787522297245538,-0.018914666398848423,-0.016816786369464154,43.22028776455365,348.1544787925775,11.079872720477496,22422.741562353305,22386.065679157065,22215.517204793996,21893.228788899698,21175.23026122667,-128.42156248476385,1.7836022647279606,43.83692211243397,-1.167773801351233,-0.677909431504426,2.310094477493415,0.8,0.5,0.2,0.009913189262286105,,-0.03787522297245538,1,0,2025-02-24 00:00:00+00:00,ACTIVE_BEAR,11.0
2025-02-25 00:00:00+00:00,21979.75,22046.25,21584.75,21819.75,1942413,0,2152082,-160.0,160.0,461.5,66.5,235.0,1,0,-0.007268136217839394,-0.01950233106779753,-0.043486361195436585,-0.029456898852415314,-0.007294677803317384,40.794226399579,356.2505874502505,12.152493032389899,22313.10673283452,22332.130852570677,22199.996922253056,21891.773763376932,21181.643392955757,-285.4358238511704,-92.86245509381843,3.215866343318339,-1.4382596706376798,-1.0673580217075622,1.7911734872110294,0.8,0.6,0.2,0.009845522206711236,,-0.04486807691044992,2,0,2025-02-25 00:00:00+00:00,ACTIVE_BEAR,11.0
2025-02-26 00:00:00+00:00,21819.5,22004.0,21659.0,21807.25,1625898,0,1797532,-12.25,12.25,345.0,184.5,148.25,1,0,-0.000572875491240743,-0.024382332874766544,-0.04155541637824001,-0.03847044169358127,-0.0005730396471008703,40.602175097070095,355.44697406094696,13.148497607737129,22221.13278141006,22282.1421999449,22184.595082164702,21890.10002548828,21187.86833431938,-405.4474922418667,-174.0660307991675,-33.988677434852434,-1.3360423202350107,-1.0616072429976582,1.7425430820362438,0.8,0.7,0.2,0.009015681704255455,,-0.045415248580089496,3,0,2025-02-26 00:00:00+00:00,ACTIVE_BEAR,11.0
2025-02-27 00:00:00+00:00,21806.75,21980.75,21176.75,21267.0,2280567,0,2515939,-539.75,539.75,804.0,174.0,90.25,1,0,-0.02477387107498652,-0.03241656998566844,-0.04434084143121941,-0.06712432420577041,-0.0250859077726453,33.30441185551986,387.4864759137365,14.929287076663245,22047.654093880956,22185.46199042634,22148.610961295497,21877.761411122174,21188.655714077395,-511.13885728879904,-251.46450405638825,-71.35186655505822,-2.3703072172015953,-2.2752044680180377,0.20218585884284243,0.8,0.8,0.2,0.010568550942246777,,-0.06906400814191449,4,0,2025-02-27 00:00:00+00:00,ACTIVE_BEAR,11.0
2025-02-28 00:00:00+00:00,21266.5,21538.5,21054.5,21504.25,2173214,0,2411238,237.75,237.75,484.0,34.25,212.0,0,1,0.011155781257347064,-0.014459377398916118,-0.037938015188627494,-0.05742025269294415,0.011094014476219272,38.529607819086515,394.38029906275534,16.770358286101747,21948.853349538964,22120.584658004784,22123.34190398979,21870.3651455554,21191.79595572837,-572.3863377817434,-308.2774084319717,-101.80865610192268,-1.562792714213927,-1.569784052248707,0.7922658535788388,0.8,0.7,0.2,0.011836250746180962,,-0.05867868985215419,0,1,2025-02-28 00:00:00+00:00,ACTIVE_BEAR,11.0
2025-03-01 00:00:00+00:00,20910.0,20910.0,20910.0,20910.0,5,675,5,0.0,0.0,0.0,0.0,0.0,0,0,-0.027634072334538518,-0.04114457347900358,-0.048658977683750715,-0.0846912310268223,-0.02802307657666603,31.80779145021306,408.65670627255855,18.696758148281027,21759.97092235006,22005.290881051948,22075.75986853921,21851.348013960243,21188.992015870375,-662.7706400032439,-380.77479810511795,-139.7573362547846,-2.6802224562575265,-2.852663006982916,-0.6827050959596836,0.6,0.7,0.2,0.013378904301742826,,-0.0846912310268223,0,0,2025-03-01 00:00:00+00:00,ACTIVE_BEAR,11.0
2025-03-02 00:00:00+00:00,21594.25,21630.25,21543.25,21564.25,41603,0,48668,-30.0,30.0,87.0,36.0,21.0,1,0,0.031288857006217086,0.013977053651196725,-0.011709575040960596,-0.054686729426720926,0.030809337478077126,43.49561022014786,430.91337011023296,18.272280487935745,21724.385300104594,21963.28698761843,22055.700658008263,21845.66290477291,21192.725926160223,-588.7214327299262,-368.8438649522468,-144.29626424479284,-0.926026007307111,-1.1404859818634643,0.862178107271855,0.6,0.7,0.2,0.018333077171566896,,-0.05605226583788403,1,0,2025-03-02 00:00:00+00:00,ACTIVE_BEAR,11.0
2025-03-03 00:00:00+00:00,21564.5,21715.0,20911.75,21108.75,2238170,0,2456449,-455.75,455.75,803.25,150.5,197.0,1,0,-0.02112292335694499,-0.018391713265982323,-0.03203063201458234,-0.07225500214259817,-0.021349204454411463,38.54260172051988,457.50884367378774,18.932062575736065,21612.45160917648,21881.90251260715,22018.565338086373,21831.07057002493,21191.890344805397,-608.681172233577,-400.2396873377511,-166.0297440783288,-1.6899181803760326,-1.9886289645913127,-0.18172401682507724,0.6,0.7,0.2,0.018937919404818225,,-0.07599120147955218,2,0,2025-03-03 00:00:00+00:00,ACTIVE_BEAR,11.0
